,count,mean,std,min,25%,50%,75%,max,missing_frac
avg_eval_drop_cp,200.0,341.4487532191888,433.90288412889856,0.0,56.35795454545455,237.81762545899633,446.5681818181818,3713.967741935484,0.0
break_time_sec,200.0,73.500875,244.1550300324779,0.0,2.149,3.407,4.7425,1338.701,0.0
created_at_ms,200.0,1773561542251.1,474213252.00039357,1772958162124.0,1773302040462.5,1773325344349.0,1773763544101.75,1774601831807.0,0.0
eval_volatility,200.0,1579.7625989082135,1472.6927913614304,0.0,221.89390789838805,1147.080455800138,2688.606223801823,4747.691724966868,0.0
first_speed,200.0,3.2810511935015665,1.1306321180771401,1.68475,2.598307692307692,3.0052316017316016,4.087875,8.859904761904762,0.0
games_played,200.0,5.305,4.9512167937481255,1.0,2.0,4.0,7.0,25.0,0.0
is_loss,200.0,0.5,0.5012547071170855,0.0,0.0,0.5,1.0,1.0,0.0
largest_eval_drop_cp,200.0,5058.975,4495.726403357328,0.0,397.75,7193.0,9374.25,10714.0,0.0
last_move_at_ms,200.0,1773561654797.02,474216220.09617573,1772958228592.0,1773302157915.5,1773325412033.5,1773763677509.0,1774601911342.0,0.0
log_break_time,200.0,1.818909977730757,1.7523193832015134,0.0,1.1469733784149194,1.483192100553682,1.7478913755915455,7.200201733718431,0.0
loss_streak,200.0,0.91,1.212124676407414,0.0,0.0,0.5,1.0,6.0,0.0
my_acpl,200.0,342.7037532191888,433.00456424709125,12.571428571428571,57.330128205128204,237.81762545899633,446.5681818181818,3713.967741935484,0.0
my_avg_secs_per_move,200.0,3.042407159268492,0.968286583842655,0.9891428571428572,2.5298676470588237,2.9150714285714283,3.3321075119236885,8.859904761904762,0.0
my_blunder_count,200.0,2.795,2.435700759731124,0.0,1.0,2.0,4.0,13.0,0.0
my_inaccuracy_count,200.0,12.81,5.758445840021621,0.0,9.0,13.0,17.0,29.0,0.0
my_mistake_count,200.0,7.285,4.196645585566438,0.0,4.0,7.0,10.0,22.0,0.0
prev_game_end_ms,159.0,1773577954544.5032,467436372.78641385,1772958228592.0,1773308782947.0,1773397278660.0,1773762265143.0,1774600557284.0,0.205
rating_diff,200.0,0.065,6.291956658541508,-23.0,-5.25,0.0,6.0,29.0,0.0
result,200.0,0.49,0.49611556442660787,0.0,0.0,0.25,1.0,1.0,0.0
roll_5_acpl_mean,200.0,331.06826420333493,378.57014929155457,26.5,152.19171982429333,245.06999819888586,404.09643880056115,3713.967741935484,0.0
roll_5_time_per_move,200.0,3.0914025811663537,0.8261065814775331,1.68475,2.658056937497653,2.9286860943625244,3.3276576088794925,8.859904761904762,0.0
session_id,200.0,23.51,10.455932893018995,1.0,20.0,22.0,30.25,41.0,0.0
session_pl,200.0,4.28,12.974718362373597,-28.0,-4.25,3.0,11.0,37.0,0.0
speed_vs_start,200.0,1.0022067123409806,0.4100642727246437,0.2625802464843269,0.7312173478293316,0.9996160467786223,1.1270519605333784,3.5186250667299364,0.0
threw_winning_position,200.0,0.26,0.4397349590046876,0.0,0.0,0.0,1.0,1.0,0.0
time_gap_ms,199.0,8259646.648241206,33949918.04719809,11492.0,117413.0,132348.0,703115.0,333978316.0,0.005
tod_evening,200.0,0.255,0.43695497278461776,0.0,0.0,0.0,1.0,1.0,0.0
tod_midday,200.0,0.615,0.48781638361232094,0.0,0.0,1.0,1.0,1.0,0.0
tod_morning,200.0,0.13,0.33714735904132886,0.0,0.0,0.0,0.0,1.0,0.0
tod_night,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
